date,symbol,revenue,net_income,eps,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures
2022-03-31,QCOM,11164000000.0,2934000000.0,,3858000000.0,6516000000.0,44302000000.0,30974000000.0,12195000000.0,7173000000.0,2698000000.0,491000000.0
2022-06-30,QCOM,10936000000.0,3730000000.0,,4472000000.0,6120000000.0,47020000000.0,30972000000.0,13600000000.0,2676000000.0,2895000000.0,554000000.0
2022-09-30,QCOM,11395000000.0,2873000000.0,,3666000000.0,6527000000.0,49014000000.0,31001000000.0,13537000000.0,2773000000.0,1446000000.0,634000000.0
2022-12-31,QCOM,9463000000.0,2235000000.0,,2465000000.0,5419000000.0,50014000000.0,31204000000.0,15431000000.0,4808000000.0,3095000000.0,398000000.0
2023-03-31,QCOM,9275000000.0,1704000000.0,,2090000000.0,5122000000.0,48362000000.0,28664000000.0,15486000000.0,3488000000.0,1457000000.0,453000000.0
2023-06-30,QCOM,8451000000.0,1803000000.0,,1823000000.0,4659000000.0,49002000000.0,28332000000.0,14530000000.0,6087000000.0,2657000000.0,306000000.0
2023-09-30,QCOM,8631000000.0,1490000000.0,,1410000000.0,4751000000.0,51040000000.0,29459000000.0,14484000000.0,8450000000.0,4090000000.0,293000000.0
2023-12-31,QCOM,9935000000.0,2767000000.0,,2928000000.0,5623000000.0,52135000000.0,29077000000.0,14566000000.0,8133000000.0,2949000000.0,214000000.0
2024-03-31,QCOM,9389000000.0,2326000000.0,,2340000000.0,5283000000.0,53167000000.0,28698000000.0,14543000000.0,9219000000.0,3554000000.0,184000000.0
2024-06-30,QCOM,9393000000.0,2129000000.0,,2221000000.0,5219000000.0,52741000000.0,28071000000.0,13190000000.0,7770000000.0,3052000000.0,387000000.0
2024-09-30,QCOM,10244000000.0,2920000000.0,,2582000000.0,5777000000.0,55154000000.0,28880000000.0,13270000000.0,7849000000.0,2647000000.0,256000000.0
2024-12-31,QCOM,11669000000.0,3180000000.0,,3555000000.0,6508000000.0,55575000000.0,28695000000.0,13212000000.0,8713000000.0,4587000000.0,277000000.0
